Sr. No.,Symbol,Company Name
357,TTML,Tata Teleservices (Maharashtra) Limited
358,BASF,BASF India Limited
359,VGUARD,V-Guard Industries Limited
360,CAMS,Computer Age Management Services Limited
361,GESHIP,The Great Eastern Shipping Company Limited
362,CENTURYPLY,Century Plyboards (India) Limited
363,CLEAN,Clean Science and Technology Limited
364,JINDALSAW,Jindal Saw Limited
365,FSL,Firstsource Solutions Limited
366,ZENSARTECH,Zensar Technologies Limited
367,SOBHA,Sobha Limited
368,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
369,DATAPATTNS,Data Patterns (India) Limited
370,CHENNPETRO,Chennai Petroleum Corporation Limited
371,WELCORP,Welspun Corp Limited
372,MGL,Mahanagar Gas Limited
373,KSB,Ksb Limited
374,WELSPUNLIV,Welspun Living Limited
375,HSCL,Himadri Speciality Chemical Limited
376,DCMSHRIRAM,DCM Shriram Limited
377,ASTRAZEN,AstraZeneca Pharma India Limited
378,ZEEL,Zee Entertainment Enterprises Limited
379,BEML,BEML Limited
380,HFCL,HFCL Limited
381,RAINBOW,Rainbow Childrens Medicare Limited
382,ABSLAMC,Aditya Birla Sun Life AMC Limited
383,HONASA,Honasa Consumer Limited
384,ASAHIINDIA,Asahi India Glass Limited
385,PVRINOX,PVR INOX Limited
386,ARE&M,Amara Raja Energy & Mobility Limited
387,IIFL,IIFL Finance Limited
388,BLS,BLS International Services Limited
389,ALOKINDS,Alok Industries Limited
390,VTL,Vardhman Textiles Limited
391,GRINFRA,G R Infraprojects Limited
392,HBLPOWER,HBL Power Systems Limited
393,WESTLIFE,WESTLIFE FOODWORLD LIMITED
394,RKFORGE,Ramkrishna Forgings Limited
395,KIRLOSENG,Kirloskar Oil Engines Limited
396,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED
397,FINEORG,Fine Organic Industries Limited
398,AMBER,Amber Enterprises India Limited
399,BIKAJI,Bikaji Foods International Limited
400,SWSOLAR,Sterling and Wilson Renewable Energy Limited
401,RAYMOND,Raymond Limited
402,IEX,Indian Energy Exchange Limited
403,SPARC,Sun Pharma Advanced Research Company Limited
404,GRAPHITE,Graphite India Limited
405,SPLPETRO,Supreme Petrochem Limited
406,RAILTEL,Railtel Corporation Of India Limited
407,INGERRAND,Ingersoll Rand (India) Limited
408,ECLERX,eClerx Services Limited
409,JUNIPER,Juniper Hotels Limited
410,ERIS,Eris Lifesciences Limited
411,RHIM,RHI MAGNESITA INDIA LIMITED
412,ENGINERSIN,Engineers India Limited
413,MAHSEAMLES,Maharashtra Seamless Limited
414,HAPPSTMNDS,Happiest Minds Technologies Limited
415,JKTYRE,JK Tyre & Industries Limited
416,TEJASNET,Tejas Networks Limited
417,PNCINFRA,PNC Infratech Limited
418,NEWGEN,Newgen Software Technologies Limited
419,INOXINDIA,INOX India Limited
420,TANLA,Tanla Platforms Limited
421,BIRLACORPN,Birla Corporation Limited
422,BBTC,Bombay Burmah Trading Corporation Limited
423,GMDCLTD,Gujarat Mineral Development Corporation Limited
424,NUVOCO,Nuvoco Vistas Corporation Limited
425,AKZOINDIA,Akzo Nobel India Limited
426,CEATLTD,CEAT Limited
427,RPOWER,Reliance Power Limited
428,RELINFRA,Reliance Infrastructure Limited
429,GPIL,Godawari Power And Ispat limited
430,ELECON,Elecon Engineering Company Limited
431,ANANTRAJ,Anant Raj Limited
432,ELECTCAST,Electrosteel Castings Limited
433,DBREALTY,D B Realty Limited
434,EQUITASBNK,Equitas Small Finance Bank Limited
435,KFINTECH,Kfin Technologies Limited
436,BAJAJELEC,Bajaj Electricals Limited
437,LATENTVIEW,Latent View Analytics Limited
438,JPPOWER,Jaiprakash Power Ventures Limited
439,GRANULES,Granules India Limited
440,AAVAS,Aavas Financiers Limited
441,AETHER,Aether Industries Limited
442,UTIAMC,UTI Asset Management Company Limited
443,LEMONTREE,Lemon Tree Hotels Limited
444,JKLAKSHMI,JK Lakshmi Cement Limited
445,GPPL,Gujarat Pipavav Port Limited
446,SFL,Sheela Foam Limited
447,PCBL,PCBL LIMITED
448,MAPMYINDIA,C.E. Info Systems Limited
449,ROUTE,ROUTE MOBILE LIMITED
450,CANFINHOME,Can Fin Homes Limited
451,CUB,City Union Bank Limited
452,SAPPHIRE,Sapphire Foods India Limited
453,CAPLIPOINT,Caplin Point Laboratories Limited
454,MINDACORP,Minda Corporation Limited
455,MMTC,MMTC Limited
456,PTCIL,PTC Industries Limited
457,IFCI,IFCI Limited
