S.No,Name,URL,Exchange Code,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
109.,GMR Airports Inf,https://www.screener.in/company/GMRINFRA/consolidated/,GMRINFRA,94.11,,99370.52,0.00,-337.57,-2938.68,2402.20,19.06,6.41
110.,Oracle Fin.Serv.,https://www.screener.in/company/OFSS/consolidated/,OFSS,11279.65,41.90,97844.52,2.13,616.70,23.09,1741.40,19.08,39.54
111.,B H E L,https://www.screener.in/company/BHEL/consolidated/,BHEL,280.65,973.15,97724.11,0.09,-211.40,-3.27,5484.92,9.62,3.37
112.,Max Healthcare,https://www.screener.in/company/MAXHEALTH/consolidated/,MAXHEALTH,997.35,92.00,96955.59,0.15,236.27,-1.59,1542.95,20.07,16.00
113.,Union Bank (I),https://www.screener.in/company/UNIONBANK/consolidated/,UNIONBANK,126.96,6.84,96916.26,2.84,3641.78,11.31,26526.92,12.34,6.55
114.,HDFC AMC,https://www.screener.in/company/HDFCAMC/,HDFCAMC,4527.55,46.67,96715.85,1.55,603.98,26.49,775.24,34.93,37.72
115.,IDBI Bank,https://www.screener.in/company/IDBI/consolidated/,IDBI,88.28,15.08,94922.21,1.70,1739.15,41.09,6669.84,-2.82,6.23
116.,Shree Cement,https://www.screener.in/company/SHREECEM/consolidated/,SHREECEM,26123.10,44.84,94254.10,0.40,278.45,-51.31,5123.96,1.75,14.76
117.,NHPC Ltd,https://www.screener.in/company/NHPC/consolidated/,NHPC,93.43,25.95,93850.76,2.03,1108.46,-0.80,2694.20,-2.29,7.67
118.,Godrej Propert.,https://www.screener.in/company/GODREJPROP/consolidated/,GODREJPROP,3305.65,82.13,91917.60,0.00,518.80,315.24,739.00,-21.05,5.74
119.,Oil India,https://www.screener.in/company/OIL/consolidated/,OIL,564.20,11.71,91773.21,1.86,2016.30,34.27,8120.21,30.80,17.67
120.,Torrent Power,https://www.screener.in/company/TORNTPOWER/consolidated/,TORNTPOWER,1889.40,39.69,90807.74,0.85,996.34,87.96,9033.73,23.28,14.77
121.,Marico,https://www.screener.in/company/MARICO/consolidated/,MARICO,693.60,59.16,89803.36,1.37,474.00,8.67,2643.00,6.70,43.08
122.,H P C L,https://www.screener.in/company/HINDPETRO/consolidated/,HINDPETRO,421.95,9.08,89783.47,4.98,633.94,-90.63,113888.28,1.61,21.26
123.,Aurobindo Pharma,https://www.screener.in/company/AUROPHARMA/consolidated/,AUROPHARMA,1515.30,24.81,88787.28,0.30,918.22,50.47,7567.02,10.46,14.10
124.,Adani Total Gas,https://www.screener.in/company/ATGL/consolidated/,ATGL,792.10,126.42,87115.96,0.03,171.84,14.39,1145.49,8.47,21.20
125.,Mazagon Dock,https://www.screener.in/company/MAZDOCK/consolidated/,MAZDOCK,4234.95,36.84,85414.71,0.65,696.10,121.45,2357.02,8.48,44.19
126.,Persistent Sys,https://www.screener.in/company/PERSISTENT/consolidated/,PERSISTENT,5426.45,72.21,84571.22,0.48,306.42,33.94,2737.17,17.92,29.17
127.,Dixon Technolog.,https://www.screener.in/company/DIXON/consolidated/,DIXON,14100.00,195.02,84369.60,0.04,139.70,98.96,6579.80,101.12,29.16
128.,Muthoot Finance,https://www.screener.in/company/MUTHOOTFIN/,MUTHOOTFIN,2047.50,19.79,82199.73,1.17,1078.68,10.62,3703.79,23.51,13.15
129.,Tube Investments,https://www.screener.in/company/TIINDIA/consolidated/,TIINDIA,4116.55,93.09,79622.01,0.09,313.65,3.56,4577.92,17.45,26.28
130.,Prestige Estates,https://www.screener.in/company/PRESTIGE/consolidated/,PRESTIGE,1825.95,58.70,78649.19,0.10,307.00,-12.85,1862.10,10.78,14.86
131.,PB Fintech.,https://www.screener.in/company/POLICYBZR/consolidated/,POLICYBZR,1685.90,751.08,76895.58,0.00,59.98,320.86,1010.49,51.82,1.75
132.,SBI Cards,https://www.screener.in/company/SBICARD/,SBICARD,781.25,30.85,74317.79,0.32,594.45,0.19,4358.64,11.42,12.54
133.,Alkem Lab,https://www.screener.in/company/ALKEM/consolidated/,ALKEM,6197.15,34.57,74096.22,0.65,550.24,90.13,3031.82,2.16,19.68
134.,Kalyan Jewellers,https://www.screener.in/company/KALYANKJIL/consolidated/,KALYANKJIL,716.70,117.26,73908.42,0.17,177.56,23.69,5535.48,26.50,14.04
135.,Linde India,https://www.screener.in/company/LINDEINDIA/,LINDEINDIA,8582.40,166.44,73190.71,0.05,111.54,13.65,653.23,-9.40,17.36
136.,SRF,https://www.screener.in/company/SRF/consolidated/,SRF,2458.25,59.31,72868.63,0.29,252.22,-29.80,3464.12,3.77,12.71
137.,I R C T C,https://www.screener.in/company/IRCTC/,IRCTC,906.75,60.97,72540.00,0.72,307.68,13.18,1120.15,11.81,53.77
138.,Vodafone Idea,https://www.screener.in/company/IDEA/consolidated/,IDEA,10.38,,72348.41,0.00,-6432.10,17.96,10508.30,-1.38,-3.61
