No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
275,AAON,"AAON, Inc.",8.69B,107.27,0.23%,1.19B
276,ASND,Ascendis Pharma A/S,8.66B,145.2,-1.47%,340.33M
277,CROX,"Crocs, Inc.",8.59B,144.71,-1.83%,4.06B
278,MRNO,Murano Global Investments Plc,8.55B,9.5,10.85%,24.46M
279,ROIV,Roivant Sciences Ltd.,8.54B,11.55,-0.22%,158.30M
280,APPF,"AppFolio, Inc.",8.52B,234.92,-0.59%,722.08M
281,SOFI,"SoFi Technologies, Inc.",8.44B,7.92,2.02%,2.34B
282,ALAB,"Astera Labs, Inc.",8.35B,53.32,-2.61%,229.55M
283,LCID,"Lucid Group, Inc.",8.35B,3.6,1.70%,668.29M
284,TEM,"Tempus AI, Inc",8.32B,53.92,3.94%,595.57M
285,SIRI,Sirius XM Holdings Inc.,8.28B,24.42,0.27%,8.90B
286,RGEN,Repligen Corporation,8.24B,147.2,0.01%,602.35M
287,AGNC,AGNC Investment Corp.,8.24B,10.53,1.25%,514.00M
288,GTLB,GitLab Inc.,8.22B,51.27,-0.27%,665.22M
289,DBX,"Dropbox, Inc.",8.22B,25.25,1.06%,2.53B
290,FSV,FirstService Corporation,8.18B,181.7,0.24%,4.65B
291,LNW,"Light & Wonder, Inc.",8.16B,92.05,-1.13%,3.08B
292,ENSG,"The Ensign Group, Inc.",8.14B,143.52,-2.66%,3.97B
293,GGAL,Grupo Financiero Galicia S.A.,8.07B,43.41,0.46%,6.47B
294,ALTR,Altair Engineering Inc.,8.07B,95.01,-0.05%,627.21M
295,CHRD,Chord Energy Corporation,8.05B,130.16,2.16%,4.15B
296,UFPI,"UFP Industries, Inc.",8.01B,131.85,1.72%,6.89B
297,MTSI,"MACOM Technology Solutions Holdings, Inc.",8.00B,110.76,-2.21%,679.24M
298,LBTYB,Liberty Global Ltd.,7.87B,21.9,0.69%,7.59B
299,LBTYK,Liberty Global Ltd.,7.87B,21.89,0.57%,7.59B
300,WBA,"Walgreens Boots Alliance, Inc.",7.85B,9.1,6.75%,145.53B
301,LBTYA,Liberty Global Ltd.,7.81B,21.37,0.42%,7.59B
302,ITCI,"Intra-Cellular Therapies, Inc.",7.75B,73.32,0.15%,564.53M
303,CBSH,"Commerce Bancshares, Inc.",7.73B,59.94,-0.18%,1.58B
304,AMKR,"Amkor Technology, Inc.",7.65B,31.06,-2.66%,6.40B
305,AAL,American Airlines Group Inc.,7.64B,11.64,-1.26%,53.45B
306,CELH,"Celsius Holdings, Inc.",7.61B,32.65,4.23%,1.49B
307,CIGI,Colliers International Group Inc.,7.61B,148.81,-1.65%,4.43B
308,MIDD,The Middleby Corporation,7.60B,141.39,0.09%,3.91B
309,SATS,EchoStar Corporation,7.57B,27.88,8.23%,16.24B
310,PARAA,Paramount Global,7.56B,21.87,0.37%,29.27B
311,BZ,Kanzhun Limited,7.53B,17.19,6.64%,936.76M
312,LNTH,"Lantheus Holdings, Inc.",7.51B,108.16,3.57%,1.44B
313,MKSI,"MKS Instruments, Inc.",7.47B,110.98,-2.03%,3.58B
314,EXEL,"Exelixis, Inc.",7.43B,26.04,-0.76%,2.01B
315,LSCC,Lattice Semiconductor Corporation,7.41B,53.76,-1.16%,627.66M
316,RVMD,"Revolution Medicines, Inc.",7.40B,44.28,0.96%,742.00K
317,PNFP,"Pinnacle Financial Partners, Inc.",7.38B,96.48,0.01%,1.49B
318,DRS,"Leonardo DRS, Inc.",7.31B,27.72,-0.18%,3.07B
319,WSC,WillScot Holdings Corporation,7.31B,38.76,-0.87%,2.41B
320,SPSC,"SPS Commerce, Inc.",7.24B,192.91,0.82%,583.80M
321,HALO,"Halozyme Therapeutics, Inc.",7.23B,57.08,0.23%,873.30M
322,PARA,Paramount Global,7.18B,10.77,1.05%,29.27B
